year,week,Occupancy rate,G&A beds occ'd,G&A Beds Open,G&A beds unavailable to non-covid admissions “void”,CC Adult Open,CC Adult Occ,Critical care beds occupancy rate,No. beds occupied by long-stay patients (> 7 days),No. beds occupied by long-stay patients (> 21 days),No. beds occupied by flu patients (G&A),No. beds occupied by flu patients (Critical Care),Closures,Diverts,Delays30,Delays60,No. unoccupied beds closed due to norovirus etc.
2019-20,1,0.9416722303757931,91477,97143.14285714286,NA,3666.714285714286,3019.714285714286,0.8235477461331671,44293.857142857145,16412.85714285714,NA,NA,0,4,1832,775.2857142857143,74.57142857142857
2019-20,2,0.9510685519281545,93601.85714285714,98417.57142857143,NA,3682.285714285714,3110.8571428571427,0.8448168839230291,44755.71428571428,17087,NA,NA,0,3.857142857142857,1636.142857142857,599.8571428571429,123.42857142857143
2019-20,3,0.9496703654782754,93261.42857142857,98204,NA,3678.5714285714284,3060.714285714286,0.8320388349514564,44463.28571428572,16828.14285714286,NA,NA,0,2.857142857142857,1404.5714285714287,368.42857142857144,99.57142857142857
2019-20,4,0.9430102197017189,92405.57142857143,97990,NA,3668.5714285714284,3004.8571428571427,0.8190809968847351,44319,16632.428571428572,NA,NA,0,3.5714285714285716,1207.7142857142858,272.85714285714283,145.71428571428572
2019-20,5,0.9481768184454503,92950.85714285714,98031.14285714286,NA,3661.4285714285716,3010.714285714286,0.8222785797893094,43811.857142857145,16630.85714285714,NA,NA,0,2,1558.5714285714287,418.57142857142856,146.14285714285714
2019-20,6,0.9416365077673461,92143.57142857143,97854.71428571429,NA,3668.4285714285716,2985.1428571428573,0.8137388527590639,43662.71428571428,16398.714285714286,NA,NA,0,3.7142857142857144,1334.2857142857142,323.57142857142856,137.28571428571428
2019-20,7,0.9402047528469931,92008.57142857143,97860.14285714286,NA,3672.714285714286,2997.5714285714284,0.8161733245167062,43538,16455.14285714286,NA,NA,0,4.571428571428571,1377.5714285714287,305.7142857142857,125.57142857142857
2019-20,8,0.9372768548438934,91656.57142857143,97790.28571428571,NA,3668.285714285714,2973,0.810460316224005,43416.71428571428,16353.285714285714,NA,NA,0,3.142857142857143,1357.4285714285713,283.7142857142857,103.57142857142857
2019-20,9,0.9394634758528988,91648.28571428571,97553.85714285714,NA,3666.5714285714284,2997.4285714285716,0.8175017532922934,43146.57142857143,16204.714285714286,NA,NA,0,3.4285714285714284,1380.5714285714287,344.2857142857143,125.71428571428571
2019-20,49,0.9488802689423326,91733,96675,NA,3668.4285714285716,3047.8571428571427,0.8308345340550644,42353.857142857145,15383.714285714286,NA,NA,0,4,1631.4285714285713,454.14285714285717,171.42857142857142
2019-20,50,0.9493078469522012,92147.14285714286,97067.71428571429,NA,3673.285714285714,3077.714285714286,0.8378641154279937,42015,15362,NA,NA,0,3.4285714285714284,1683.5714285714287,638.4285714285714,146.42857142857142
2019-20,51,0.9416042702006258,91352.42857142857,97017.85714285714,NA,3668.5714285714284,3086.1428571428573,0.8412383177570094,41386.57142857143,15044.857142857143,NA,NA,0,3.2857142857142856,1804.142857142857,712.8571428571429,138.57142857142858
2019-20,52,0.8935676298647567,85618.71428571429,95816.71428571429,NA,3651.1428571428573,2870.285714285714,0.7861335002738867,40775.57142857143,14660.57142857143,NA,NA,0,2.857142857142857,1527.2857142857142,514,84.57142857142857
2020-21,1,0.884396722939424,81425.14285714286,92068.57142857143,NA,5268.428571428572,4384.857142857143,0.8322893787792511,38117.28571428572,12725.42857142857,NA,NA,0,3.5714285714285716,1323.857142857143,787.5714285714286,NA
2020-21,2,0.8704444530553725,80227,92167.85714285714,NA,5820.285714285715,5022.857142857143,0.8629915075352216,37302.57142857143,12082.42857142857,NA,NA,0,2.142857142857143,1077.142857142857,476.14285714285717,NA
2020-21,3,0.8746745799689091,80299,91804.42857142857,NA,6203.857142857143,5404.285714285715,0.8711170469984112,36816,11566.42857142857,NA,NA,0,3.4285714285714284,1180.7142857142858,469,NA
2020-21,4,0.8665414876731307,79706.71428571429,91982.57142857143,NA,6300.428571428572,5423.428571428572,0.8608031199691631,37090,11458.285714285714,NA,NA,0,2,1055,334.14285714285717,NA
2020-21,5,0.8589122575127317,78906.42857142857,91867.85714285714,NA,6197.285714285715,5157.285714285715,0.8321845969433623,36899.57142857143,11625,NA,NA,0,1.8571428571428572,854,237.28571428571428,NA
2020-21,6,0.8427918427510722,76780.14285714286,91102.14285714286,NA,5978,4767.571428571428,0.7975194761745448,35994.71428571428,11770.285714285714,NA,NA,0,2.5714285714285716,733.2857142857143,126.85714285714286,NA
2020-21,7,0.8503192486045175,77146.42857142857,90726.42857142857,NA,5738.857142857143,4440.714285714285,0.7737976700189185,35270.42857142857,11794.57142857143,NA,NA,0,3.142857142857143,952.4285714285714,274.7142857142857,NA
2020-21,8,0.8562370521150895,77879.28571428571,90955.28571428571,NA,5444,4097,0.7525716385011021,35717.57142857143,11756,NA,NA,0,2.4285714285714284,806.2857142857143,227.71428571428572,NA
2020-21,9,0.8401044241712355,76221.71428571429,90728.85714285714,NA,5212.857142857143,3769.5714285714284,0.7231296245546724,34971.57142857143,11601,NA,NA,0,2.7142857142857144,677,119.42857142857143,NA
2020-21,10,0.8446403477160677,76676.57142857143,90780.14285714286,NA,4957.142857142857,3454.8571428571427,0.6969452449567723,34085.42857142857,11558.142857142857,NA,NA,0,3.142857142857143,799.5714285714286,174.85714285714286,NA
2020-21,11,0.8536211341014432,77771.71428571429,91108,NA,4665,3225.4285714285716,0.6914101975195223,33951.28571428572,11286.57142857143,NA,NA,0,2.142857142857143,876.5714285714286,239.28571428571428,NA
2020-21,12,0.8515156120020743,77648.85714285714,91189,NA,4508.857142857143,3102.1428571428573,0.6880108991825613,33302.28571428572,10852.57142857143,NA,NA,0,2.857142857142857,775,186.85714285714286,NA
2020-21,13,0.8445166505772567,76858.85714285714,91009.28571428571,NA,4410.142857142857,3042,0.6897735739043115,32957.42857142857,10750.57142857143,NA,NA,0,2.857142857142857,878,211.28571428571428,NA
2020-21,45,0.8711009329014375,77488.28571428571,88954.42857142857,NA,4175.428571428572,3076.714285714286,0.7368619132338853,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-21,46,0.8796543504363215,78180.28571428571,88876.14285714286,NA,4222.714285714285,3204.4285714285716,0.7588551710139045,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-21,47,0.8767093350987758,77941.71428571429,88902.57142857143,NA,4344.571428571428,3318.5714285714284,0.7638432197816651,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-21,48,0.8681386299591604,77194.14285714286,88919.14285714286,NA,4384,3322.8571428571427,0.7579509906152242,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-21,49,0.8713284893805651,77502.42857142857,88947.42857142857,NA,4415.142857142857,3254.714285714286,0.7371707759011196,34728.142857142855,11336,NA,NA,0,2.5714285714285716,1071.7142857142858,350.57142857142856,NA
2020-21,50,0.8894446584068307,79511.14285714286,89394.14285714286,NA,4430.714285714285,3330.5714285714284,0.7517007899403515,35472.71428571428,11411.142857142857,NA,NA,0,6.285714285714286,1263.7142857142858,613.2857142857143,NA
2020-21,51,0.8861964449463722,80488.28571428571,90824.42857142857,NA,4416.285714285715,3409,0.7719156369282525,36748.857142857145,11554.857142857143,NA,NA,0,3.7142857142857144,1263.2857142857142,601,NA
2020-21,52,0.8266038944135782,73943.14285714286,89454.14285714286,NA,4520.428571428572,3425.1428571428573,0.7577031254937902,35164.142857142855,11384.285714285714,NA,NA,0,3.142857142857143,961.1428571428571,365,NA
2020-21,53,0.8638968255221076,78181.42857142857,90498.57142857143,NA,4794.142857142857,3803.285714285714,0.7933192288208827,36314.28571428572,12093.142857142857,NA,NA,0,2.857142857142857,1322.2857142857142,759.7142857142857,NA
2021-22,1,0.9142450066261373,87910.14285714286,96156,NA,4116.857142857143,3171.1428571428573,0.7702824623499201,45227.42857142857,17107,45.42857142857143,2.7142857142857144,0,3.2857142857142856,1479.857142857143,1135.4285714285713,NA
2021-22,2,0.9163294921545968,88583.14285714286,96671.71428571429,NA,4110,3130.1428571428573,0.7615919360444908,44901.857142857145,17740.571428571428,36.57142857142857,4.285714285714286,0,3.5714285714285716,1335.857142857143,801.4285714285714,NA
2021-22,3,0.9163522961621648,88487.42857142857,96564.85714285714,NA,4105,3057.5714285714284,0.7448407864973029,44614.42857142857,17903.571428571428,34.285714285714285,1.8571428571428572,0,4,1400.4285714285713,853.2857142857143,NA
2021-22,4,0.9208765719910756,89272.14285714286,96942.57142857143,NA,4074.8571428571427,3015.714285714286,0.7400785303603983,44421.142857142855,17535.14285714286,35.142857142857146,1.2857142857142858,0,3.2857142857142856,1440.857142857143,1028.857142857143,NA
2021-22,5,0.9258231605375694,90186.28571428571,97412,NA,4083.5714285714284,3064,0.7503235962917615,44654.857142857145,17387.428571428572,33.57142857142857,2.142857142857143,0,1.8571428571428572,1495.4285714285713,1103.5714285714287,NA
2021-22,6,0.9229892991227077,89592.85714285714,97068.14285714286,NA,4054.1428571428573,3054.714285714286,0.7534796856830754,44361.57142857143,17058.428571428572,25.428571428571427,2.2857142857142856,0,3.2857142857142856,1458.2857142857142,979.2857142857143,NA
2021-22,7,0.9226689000558348,90179.28571428571,97737.42857142857,NA,4048.285714285714,3044,0.7519232126473286,44304.71428571428,17012.428571428572,26.571428571428573,2,0,4.571428571428571,1512.2857142857142,1027.4285714285713,NA
2021-22,8,0.9224817513987432,90305.42857142857,97894,NA,4053.714285714286,3052.285714285714,0.7529602480969834,44719.57142857143,17153.85714285714,34.142857142857146,2.4285714285714284,0,3.142857142857143,1581.4285714285713,1061.4285714285713,NA
2021-22,9,0.9248069115934852,90437,97790.14285714286,NA,4065.714285714286,3043.5714285714284,0.7485945186226282,44643.71428571428,17160.285714285714,48.42857142857143,4.428571428571429,0,3.2857142857142856,1589.5714285714287,1096,NA
2021-22,10,0.925297374447587,90390.71428571429,97688.28571428571,NA,4065.5714285714284,3031,0.745528655258442,44488.28571428572,17164.14285714286,65.42857142857143,7.428571428571429,0,2.7142857142857144,1655.2857142857142,1241,NA
2021-22,11,0.9240571285714495,90293.71428571429,97714.42857142857,NA,4073.5714285714284,3042.1428571428573,0.7467999298614765,44980.857142857145,17296,94,7.571428571428571,0,3.142857142857143,1573.4285714285713,1226.2857142857142,NA
2021-22,12,0.9198584046809538,89204.71428571429,96976.57142857143,NA,4049.4285714285716,3049.5714285714284,0.753086855288224,45364.71428571428,17469,110.71428571428571,9.857142857142858,0,3,1689.4285714285713,1317.857142857143,NA
2021-22,13,0.9248623281114139,90259.42857142857,97592.28571428571,NA,4058,3070.8571428571427,0.7567415334788424,45823.71428571428,17853.285714285714,129.14285714285714,11.714285714285714,0,2.857142857142857,1637.142857142857,1424.5714285714287,NA
2021-22,48,0.927784963033468,89259.14285714286,96206.71428571429,NA,4121.714285714285,3319.8571428571427,0.8054554276999861,42068.71428571428,15136.57142857143,31.428571428571427,2.5714285714285716,0,3.5714285714285716,1593.5714285714287,1173,NA
2021-22,49,0.9326413388409239,90184.28571428571,96697.71428571429,NA,4148.142857142857,3342.4285714285716,0.8057650583737991,42874.42857142857,15289.57142857143,24.714285714285715,0.7142857142857143,0,4,1586,1200.142857142857,NA
2021-22,50,0.9212892954270376,88949.42857142857,96548.85714285714,NA,4145.428571428572,3309.714285714286,0.7984009924874216,43289.857142857145,15316.857142857143,30,2.4285714285714284,0,1.8571428571428572,1469.4285714285713,874.8571428571429,NA
2021-22,51,0.8602424583646329,81634.42857142857,94897,NA,4079.285714285714,3058,0.74964104360007,39747.857142857145,14586.857142857143,32.42857142857143,2,0,2.142857142857143,1163.142857142857,420.85714285714283,NA
2021-22,52,0.8804989793603991,83188.28571428571,94478.57142857143,NA,4084.8571428571427,3037.1428571428573,0.7435126250262294,40795.142857142855,15388.57142857143,37.57142857142857,1.5714285714285714,0,3,1546.7142857142858,1181.7142857142858,NA
2022-23,46,0.9430478395840513,93435.42857142857,99078.14285714286,242.57142857142858,4005,3189.1428571428573,0.7962903513465311,47060.42857142857,19065.285714285714,344,29.285714285714285,0,2.2857142857142856,1837.5714285714287,1431.4285714285713,NA
2022-23,47,0.9452627821177745,93810.71428571429,99243,215.85714285714286,3994.714285714286,3181.4285714285716,0.7964095411794156,47386.142857142855,18806.714285714286,481.85714285714283,38,0,1.4285714285714286,1801.4285714285713,1627,NA
2022-23,48,0.9450553867887148,94040.57142857143,99508,178.57142857142858,4007.714285714286,3212.1428571428573,0.8014899836030513,48062.857142857145,18812.571428571428,712.2857142857143,59.714285714285715,0,3.7142857142857144,1799.7142857142858,1613.7142857142858,NA
2022-23,49,0.9449403482219126,94185.71428571429,99673.71428571429,231.71428571428572,4026,3223.285714285714,0.8006174153715138,48359.42857142857,18943.14285714286,1161.5714285714287,86.57142857142857,0,2.142857142857143,1806.857142857143,1790.5714285714287,NA
2022-23,50,0.9443703921473485,94532.28571428571,100100.85714285714,255.57142857142858,4031,3289.285714285714,0.8159974483467413,48646.57142857143,19114.14285714286,1939,148.85714285714286,0,1.7142857142857142,1675.142857142857,2339.8571428571427,NA
2022-23,51,0.9305130510478145,92998,99942.71428571429,284.57142857142856,4053.285714285714,3311.5714285714284,0.8170091283967151,46481.57142857143,18143.571428571428,3479,267.14285714285717,0,2.4285714285714284,1759,1990.2857142857142,NA
2022-23,52,0.9320638159038259,93458.57142857143,100270.57142857143,289.14285714285717,4039.1428571428573,3291.4285714285716,0.814882931314989,49214.71428571428,18307,5105.285714285715,335.7142857142857,0,2.4285714285714284,1766.857142857143,2674.285714285714,NA
